cell,latitude,longitude,route_name,waypoint_id
6,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
8,59.04514792,5.59887,Cruise_Stavanger_Skudefjorden_Out_20210212,5
4,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
0,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
1,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
2,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
3,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
5,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
6,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
7,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
8,59.11010337,5.51029227,Cruise_Stavanger_Skudefjorden_Out_20210212,6
4,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
0,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
1,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
2,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
3,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
5,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
6,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
7,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
8,59.12124917,5.43003904,Cruise_Stavanger_Skudefjorden_Out_20210212,7
4,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
0,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
1,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
2,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
3,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
5,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
6,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
7,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
8,59.09098201,5.31941936,Cruise_Stavanger_Skudefjorden_Out_20210212,8
3,58.79531973,5.39650212,Cruise_Stavanger_Feistein_In_20210212,1
0,58.79531973,5.39650212,Cruise_Stavanger_Feistein_In_20210212,1
1,58.79531973,5.39650212,Cruise_Stavanger_Feistein_In_20210212,1
4,58.79531973,5.39650212,Cruise_Stavanger_Feistein_In_20210212,1
6,58.79531973,5.39650212,Cruise_Stavanger_Feistein_In_20210212,1
7,58.79531973,5.39650212,Cruise_Stavanger_Feistein_In_20210212,1
3,58.85414892,5.51532601,Cruise_Stavanger_Feistein_In_20210212,2
0,58.85414892,5.51532601,Cruise_Stavanger_Feistein_In_20210212,2
1,58.85414892,5.51532601,Cruise_Stavanger_Feistein_In_20210212,2
4,58.85414892,5.51532601,Cruise_Stavanger_Feistein_In_20210212,2
6,58.85414892,5.51532601,Cruise_Stavanger_Feistein_In_20210212,2
7,58.85414892,5.51532601,Cruise_Stavanger_Feistein_In_20210212,2
6,58.92870516,5.54696341,Cruise_Stavanger_Feistein_In_20210212,3
3,58.92870516,5.54696341,Cruise_Stavanger_Feistein_In_20210212,3
4,58.92870516,5.54696341,Cruise_Stavanger_Feistein_In_20210212,3
7,58.92870516,5.54696341,Cruise_Stavanger_Feistein_In_20210212,3
6,58.97875881,5.55315073,Cruise_Stavanger_Feistein_In_20210212,4
3,58.97875881,5.55315073,Cruise_Stavanger_Feistein_In_20210212,4
4,58.97875881,5.55315073,Cruise_Stavanger_Feistein_In_20210212,4
